from	to	type	low	high	weight
Ethiopia_Amhara_e	Europe_IBS	edge	4.066726139801517e-4	6.590852585352636e-4	5.261401001222263e-4
Ethiopia_Amhara_e	Europe_TSI	edge	-1.9569905697196095e-20	5.9188391462302376e-5	8.350216888380085e-6
Rrlr	aDNA_Morocco_Epipalaeolithic	edge	0.12234128597979642	0.12691240607798926	0.12490908249855186
Rrlr	aDNA_Morocco_Iberomaurusian	edge	0.015824055265078792	0.020129442474076505	0.017921224716949402
Rrr	Rrre	edge	0.02536444612761949	0.02951087150791186	0.027454810357376243
Rrr	admixa	admix	0.35541966241184236	0.3905830021136237	0.3731283112875697
Rrre	Rrlr	edge	-7.105478377475004e-22	0.0030889369474934106	0.0012351638276468552
Rrre	aDNA_Morocco_EN.SG	edge	0.09955213502174248	0.10541895197046411	0.10273385131748579
Rrrl	Egypt_Egyptian	edge	-3.076613516470839e-20	1.6993260268113556e-20	-2.8005815800350692e-21
Rrrl	Yemen_Yemeni_d	edge	4.838711657977639e-4	7.389704762805366e-4	6.133335739926545e-4
Rrrlr	Rrrrllra	edge	0.005568628467927252	0.006309448598149358	0.005909999120671933
Rrrlr	Rrrrllrl	edge	8.066454372204612e-4	0.0014531574577668848	0.0011757429371312363
Rrrrlll	Ethiopia_Amhara_e	edge	0.0015155655588469845	0.0018120117454597069	0.001664221930705345
Rrrrlll	Lebanon_LebaneseMuslim	edge	-1.0867284219720192e-20	2.083025094203635e-20	8.179803837215223e-10
Rrrrllll	Rrrl	edge	0.0011615098377438344	0.0015318943109815203	0.0013377536313293249
Rrrrllll	Rrrrlllr	edge	3.675717084499556e-4	9.740844994822513e-4	6.530768324465638e-4
Rrrrlllr	Morocco_BerberBouhria	edge	-1.3507034677118973e-19	1.981777006833554e-19	9.487081326935013e-21
Rrrrlllr	Rrr	edge	0.003912707751810103	0.006353168369418007	0.005160588615975629
Rrrrllr	Ethiopia_Oromo	edge	-1.4167510644712065e-19	1.2672138674572832e-19	-6.540498472343233e-21
Rrrrllr	admix	edge	9.252752498260224e-4	0.0012337730823900358	0.0010781040736380088
Rrrrllra	Chad_Daza	edge	0.0011144419463870506	0.0016856260477658197	0.0013825913896982605
Rrrrllra	Rrrrllr	edge	0.0046456193261330365	0.005174786653697277	0.00493152611792524
Rrrrllrl	Nigeria_YRI	edge	9.906981100255162e-4	0.0013483943979734003	0.0011622170431461831
Rrrrllrl	Rrrrllrlf	edge	3.350204508588033e-4	8.267341311372873e-4	5.8624716333015e-4
Rrrrllrlf	Rrrrllrll	edge	0	3.8019420406127513e-4	1.4331671942826988e-4
Rrrrllrlf	admixa	admix	0.6094169978863763	0.6445803375881577	0.6268716887124304
Rrrrllrll	Gambia_GWD	edge	0	2.2871758957302397e-4	1.080827257151833e-4
Rrrrllrll	Senegal_Bedik	edge	0.0015375740530771615	0.0020093809677838676	0.001794383891356435
Yemen_Yemeni_d	Rrrrlll	edge	9.161650857842372e-4	0.001188716954922857	0.001053993165143306
Yemen_Yemeni_d	Yemen_Yemeni	edge	4.918412265615302e-4	8.650533174557521e-4	6.783817695901844e-4
admix	Ethiopia_Amhara	edge	-1.7406253699410628e-19	1.514437772392187e-19	-6.7444231285493955e-21
admix	Rrrrllll	edge	0.003942643608518963	0.00442037234430575	0.004187949676007135
admixa	Chad_Fulani_Linia	edge	0.003189273234467968	0.0037423433754425585	0.0034628947694236704
root	Rrrlr	edge	0.0077276256837665695	0.010835386952892235	0.00939414083206284
root	aDNA_Cameroon_SMA	edge	0.00822765703306211	0.011141569080016237	0.009617045387512221
rootv	Chimp_REF	edge	0.07389755003243291	0.07640259377727468	0.07516188675821717
rootv	root	edge	0.07389755003243217	0.07640259377727673	0.07516188675821704
