O,Group,Sample,Population,Colour,Shape,Filling,Latitude,Longitude
1,aDNA,I10871,Cameroon_SMA,black,square,red,5.8586,10.0778
2,aDNA,I10873,Cameroon_SMA,black,square,red,5.8586,10.0778
3,aDNA,I10874,Cameroon_SMA,black,square,red,5.8586,10.0778
4,aDNA,I10872_alt,Cameroon_SMA,black,square,red,5.8586,10.0778
5,aDNA,gun002_noUDG.SG,CanaryIslands_Guanche.SG,purple,square_cross,magenta,28.26861,-16.60556
6,aDNA,gun005_noUDG.SG,CanaryIslands_Guanche.SG,purple,square_cross,magenta,27.96667,-15.6
7,aDNA,gun008_noUDG.SG,CanaryIslands_Guanche.SG,purple,square_cross,magenta,27.96667,-15.6
8,aDNA,gun011_noUDG.SG,CanaryIslands_Guanche.SG,purple,square_cross,magenta,28.26861,-16.60556
9,aDNA,gun012_noUDG.SG,CanaryIslands_Guanche.SG,purple,square_cross,magenta,28.26861,-16.60556
10,aDNA,oub002,Morocco_Epipalaeolithic,black,triangle,plum,33.43513,-5.23164
11,aDNA,ktg004,Morocco_EarlyNeolithicCardial,indigo,inverted_triangle,deeppink,34.47999,-4.277
12,aDNA,skh001,Morocco_MiddleNeolithic,black,square_pin,orchid,33.85094,-7.0704
13,aDNA,IAM.3_noUDG.WGC,Morocco_EN_lc.SG,black,plus,darkorchid,33.88131,-5.92779
14,aDNA,IAM.4_IAM.5_noUDG.WGC,Morocco_EN.SG,black,hex,darkviolet,33.88131,-5.92779
15,aDNA,IAM.6_noUDG.WGC,Morocco_EN.SG,black,hex,darkviolet,33.88131,-5.92779
16,aDNA,IAM.7_noUDG.WGC,Morocco_EN.SG,black,hex,darkviolet,33.88131,-5.92779
17,aDNA,KEB.1_KEB.8_noUDG.WGC,Morocco_LN.SG,black,square,blueviolet,34.47999,-4.277
18,aDNA,KEB.4_noUDG.WGC,Morocco_LN.SG,black,square,blueviolet,34.47999,-4.277
19,aDNA,KEB.6_noUDG.WGC,Morocco_LN.SG,black,square,blueviolet,34.47999,-4.277
20,aDNA,BOT.1_noUDG.WGC,Morocco_N.SG,black,circle,purple,36.58036,-4.56966
21,aDNA,TAF009_noUDG,Morocco_Iberomaurusian,black,circle_cross,violet,34.80781,-2.41089
22,aDNA,TAF010_noUDG,Morocco_Iberomaurusian,black,circle_cross,violet,34.80781,-2.41089
23,aDNA,TAF011_noUDG,Morocco_Iberomaurusian,black,circle_cross,violet,34.80781,-2.41089
24,aDNA,TAF013_noUDG,Morocco_Iberomaurusian,black,circle_cross,violet,34.80781,-2.41089
25,aDNA,TAF014_noUDG,Morocco_Iberomaurusian,black,circle_cross,violet,34.80781,-2.41089
26,aDNA,TAF015_noUDG,Morocco_Iberomaurusian,black,circle_cross,violet,34.80781,-2.41089
27,aDNA,R10766.SG,Algeria_NumidoRoman_Berber.SG,black,circle,deepskyblue,36.1898,5.4108
28,aDNA,R10760.SG,Algeria_NumidoRoman_Berber.SG,black,circle,deepskyblue,36.1898,5.4108
29,aDNA,R11753.SG,Tunisia_Punic.SG,black,diamond,lime,36.9615,11.0804
30,aDNA,R11749.SG,Tunisia_Punic.SG,black,diamond,lime,36.9615,11.0804
31,aDNA,R11776.SG,Tunisia_Punic.SG,black,diamond,lime,36.9615,11.0804
32,aDNA,R11780.SG,Tunisia_Punic.SG,black,diamond,lime,36.9615,11.0804
33,aDNA,R11791.SG,Tunisia_Punic.SG,black,diamond,lime,36.9615,11.0804
34,aDNA,R11746.SG,Tunisia_Punic_oAfrica2.SG,black,square,darkgreen,36.9615,11.0804
35,aDNA,R11778.SG,Tunisia_Punic_oAfrica2.SG,black,square,darkgreen,36.9615,11.0804
36,aDNA,R11790.SG,Tunisia_Punic_oAfrica2.SG,black,square,darkgreen,36.9615,11.0804
37,aDNA,R11755.SG,Tunisia_Punic_oAfrica2.SG,black,square,darkgreen,36.9615,11.0804
38,aDNA,R11759.SG,Tunisia_Punic_oAfrica1.SG,black,triangle,yellowgreen,36.9615,11.0804
39,aDNA,JK2134,Egypt_ThirdIntermediatePeriod,black,square_pin,grey,29.9,31.2
40,aDNA,JK2911,Egypt_ThirdIntermediatePeriod,black,square_pin,grey,29.9,31.2
41,aDNA,I6251,Sudan_EarlyChristian_R,black,square_cross,tan,21.07045,30.66403
42,aDNA,I6253,Sudan_EarlyChristian_R,black,square_cross,tan,21.07045,30.66403
43,aDNA,I6327,Sudan_EarlyChristian_R,black,square_cross,tan,21.07045,30.66403
44,aDNA,I6255,Sudan_EarlyChristian_S,black,triangle,sienna,21.07045,30.66403
45,aDNA,I6257,Sudan_EarlyChristian_S,black,triangle,sienna,21.07045,30.66403
46,aDNA,I6258,Sudan_EarlyChristian_S,black,triangle,sienna,21.07045,30.66403
47,aDNA,I6325,Sudan_EarlyChristian_S,black,triangle,sienna,21.07045,30.66403
48,aDNA,I6332,Sudan_EarlyChristian_S,black,triangle,sienna,21.07045,30.66403
49,aDNA,I6337,Sudan_EarlyChristian_S,black,triangle,sienna,21.07045,30.66403
50,aDNA,I6338,Sudan_EarlyChristian_S,black,triangle,sienna,21.07045,30.66403
51,aDNA,SFI-55_noUDG.SG,Lebanon_IA2.SG,black,inverted_triangle,olivedrab,33.89667,35.50944
52,aDNA,SFI-56_noUDG.SG,Lebanon_IA2.SG,black,inverted_triangle,olivedrab,33.89667,35.50944
53,aDNA,ERS1790729_noUDG.SG,Lebanon_MBA.SG,black,asterisk,cyan,33.56162,35.37118
54,aDNA,ERS1790730_noUDG.SG,Lebanon_MBA.SG,black,asterisk,cyan,33.56162,35.37118
55,aDNA,ERS1790731_noUDG.SG,Lebanon_MBA.SG,black,asterisk,cyan,33.56162,35.37118
56,aDNA,ERS1790732_noUDG.SG,Lebanon_MBA.SG,black,asterisk,cyan,33.56162,35.37118
57,aDNA,ERS1790733_noUDG.SG,Lebanon_MBA.SG,black,asterisk,cyan,33.56162,35.37118
58,aDNA,SI-41_noUDG.SG,Lebanon_Medieval_o1.SG,black,square_pin,darkturquoise,33.56056,35.39806
59,aDNA,SI-39_noUDG.SG,Lebanon_Medieval_o2.SG,black,square_pin,darkturquoise,33.56056,35.39806
60,aDNA,SI-47_noUDG.SG,Lebanon_Medieval_o2.SG,black,square_pin,darkturquoise,33.56056,35.39806
61,aDNA,SI-44_noUDG.SG,Lebanon_Medieval_o3.SG,black,square_pin,darkturquoise,33.56056,35.39806
62,aDNA,SI-53_noUDG.SG,Lebanon_Medieval_o4.SG,black,square_pin,darkturquoise,33.56056,35.39806
63,aDNA,SI-40_noUDG.SG,Lebanon_Medieval_o5.SG,black,square_pin,darkturquoise,33.56056,35.39806
64,aDNA,SI-38_noUDG.SG,Lebanon_Medieval.SG,black,diamond,teal,33.56056,35.39806
65,aDNA,SI-42_noUDG.SG,Lebanon_Medieval.SG,black,diamond,teal,33.56056,35.39806
66,aDNA,SI-45_noUDG.SG,Lebanon_Medieval.SG,black,diamond,teal,33.56056,35.39806
67,aDNA,I1072_d,Israel_Natufian,black,circle,darkorange,32.65,35.067
68,aDNA,I0861_d,Israel_Natufian,black,circle,darkorange,32.65,35.067
69,aDNA,I1690,Israel_Natufian,black,circle,darkorange,32.65,35.067
70,aDNA,I0707,Turkey_N,blue,triangle,navy,40.3037,29.57
71,aDNA,I0708,Turkey_N,blue,triangle,navy,40.3037,29.57
72,aDNA,I0745,Turkey_N,blue,triangle,navy,40.3037,29.57
73,aDNA,I1096,Turkey_N,blue,triangle,navy,40.3037,29.57
74,aDNA,I1098,Turkey_N,blue,triangle,navy,40.3037,29.57
75,aDNA,I1579_enhanced,Turkey_N,blue,triangle,navy,40.3,29.56667
76,aDNA,I1580_enhanced,Turkey_N,blue,triangle,navy,40.3037,29.6085
77,aDNA,I1581_enhanced,Turkey_N,blue,triangle,navy,40.3037,29.6085
78,aDNA,I1583_enhanced,Turkey_N,blue,triangle,navy,40.3037,29.6085
79,aDNA,I1585_enhanced,Turkey_N,blue,triangle,navy,40.3,29.56667
80,aDNA,I7527,Iran_GanjDareh_N,black,square,darkgoldenrod,34.45,48.116
81,aDNA,I1290,Iran_GanjDareh_N,black,square,darkgoldenrod,34.45,48.116
82,aDNA,I1944,Iran_GanjDareh_N,black,square,darkgoldenrod,34.45,48.116
83,aDNA,I1945,Iran_GanjDareh_N,black,square,darkgoldenrod,34.45,48.116
84,aDNA,I1947,Iran_GanjDareh_N,black,square,darkgoldenrod,34.45,48.116
85,aDNA,I1949,Iran_GanjDareh_N,black,square,darkgoldenrod,34.45,48.116
86,aDNA,I1951,Iran_GanjDareh_N,black,square,darkgoldenrod,34.45,48.116
87,aDNA,I1954,Iran_GanjDareh_N,black,square,darkgoldenrod,34.45,48.116
88,aDNA,S1944.E1.L3_v54.1_addback,Iran_GanjDareh_N,black,square,darkgoldenrod,34.45,48.116
89,aDNA,S1951.E1.L3_v54.1_addback,Iran_GanjDareh_N,black,square,darkgoldenrod,34.45,48.116
