16,Mauritania_Fulani_Assaba,grey,x,silver
18,Senegal_Fulani_Linguere,grey,circle,silver
23,Senegal_Halpularen,grey,cross,silver
74,Gambia_Fula,grey,triangle,silver
25,Guinea_Fulani,grey,diamond,silver
22,Mali_Fulani_Diafarabe,grey,inverted_triangle,silver
16,Mali_Fulani_InnerDelta,grey,asterisk,silver
19,BurkinaFaso_Fulani_Banfora,grey,square_x,silver
24,BurkinaFaso_Fulani_Tindangou,grey,circle_cross,silver
54,BurkinaFaso_Fulani_Ziniare,grey,diamond_cross,silver
19,Niger_Fulani_Abalak,grey,circle_x,silver
19,Niger_Fulani_Ader,grey,square_cross,silver
19,Niger_Fulani_Balatungur,grey,triangle,silver
13,Niger_Fulani_Diffa,grey,square,silver
21,Niger_Fulani_Zinder,grey,square,silver
30,Cameroon_Fulani_Tcheboua,grey,circle,silver
23,Chad_Fulani_Bongor,grey,circle,silver
17,Chad_Fulani_Linia,grey,diamond,silver
21,Senegal_Bedik,grey,square_cross,silver
50,Gambia_GWD,grey,triangle,silver
50,Gambia_Jola,grey,cross,silver
50,Gambia_Wolof,grey,x,silver
50,Gambia_Mandinka,grey,diamond,silver
50,SierraLeone_MSL,grey,inverted_triangle,silver
15,BurkinaFaso_Gurmantche,grey,square,silver
16,BurkinaFaso_Gurunsi,grey,circle_x,silver
17,BurkinaFaso_Mossi,grey,square_cross,silver
18,IvoryCoast_Ahizi,grey,diamond_cross,silver
16,IvoryCoast_Yacouba,grey,asterisk,silver
50,Ghana_GaAdangbe,grey,square,silver
15,Mali_Bwa,grey,circle_cross,silver
19,Benin_Fon,grey,circle,silver
24,Benin_Yoruba,grey,triangle,silver
24,Benin_Bariba,grey,diamond,silver
50,Nigeria_Igbo,grey,cross,silver
50,Nigeria_YRI,grey,circle,silver
50,Nigeria_ESN,grey,triangle,silver
18,Chad_Daza,grey,asterisk,silver
4,Chad_Kanembu,grey,x,silver
23,Chad_Laal,grey,square_x,silver
50,Chad_Sara,grey,diamond,silver
50,Chad_Toubou,grey,inverted_triangle,silver
19,Sudan_Daju,grey,circle_cross,silver
24,Sudan_NubaKoalib,grey,square_cross,silver
14,Sudan_Nubian,grey,circle_x,silver
24,Sudan_Zaghawa,grey,diamond_cross,silver
21,Ethiopia_Gumuz,grey,square,silver
42,Ethiopia_Amhara,grey,triangle,silver
26,Ethiopia_Oromo,grey,square,silver
21,Ethiopia_Wolayta,grey,circle,silver
42,Ethiopia_Somali,grey,diamond,silver
15,Morocco_BerberAsni,grey,circle,silver
10,Morocco_BerberBouhria,grey,triangle,silver
9,Morocco_BerberFiguig,grey,cross,silver
50,Egypt_Egyptian,grey,x,silver
50,Lebanon_LebaneseChristian,grey,diamond,silver
31,Lebanon_LebaneseDruze,grey,inverted_triangle,silver
43,Lebanon_LebaneseMuslim,grey,square_x,silver
20,Yemen_Yemeni,grey,asterisk,silver
50,Europe_TSI,grey,circle,silver
50,Europe_IBS,grey,square_cross,silver
35,Europe_SpainGranada,grey,circle_cross,silver
35,Europe_SpainHuelva,grey,circle_x,silver
35,Europe_SouthPortugal,grey,diamond_cross,silver
50,Europe_CEU,grey,square,silver
50,Europe_GBR,grey,square,silver
16,Cameroon_SMA,black,square,red
16,CanaryIslands_Guanche.SG,purple,square_cross,magenta
18,Morocco_Epipalaeolithic,black,triangle,plum
18,Morocco_EarlyNeolithicCardial,indigo,inverted_triangle,deeppink
18,Morocco_EN_lc.SG,black,plus,darkorchid
18,Morocco_EN.SG,black,hex,darkviolet
18,Morocco_MiddleNeolithic,black,square_pin,orchid
18,Morocco_LN.SG,black,square,blueviolet
18,Morocco_N.SG,black,circle,purple
18,Morocco_Iberomaurusian,black,circle_cross,violet
18,Algeria_NumidoRoman_Berber.SG,black,circle,deepskyblue
20,Tunisia_Punic.SG,black,diamond,lime
18,Tunisia_Punic_oAfrica1.SG,black,triangle,yellowgreen
16,Tunisia_Punic_oAfrica2.SG,black,square,darkgreen
18,Egypt_ThirdIntermediatePeriod,black,square_pin,grey
16,Sudan_EarlyChristian_R,black,square_cross,tan
18,Sudan_EarlyChristian_S,black,triangle,sienna
18,Lebanon_IA2.SG,black,inverted_triangle,olivedrab
18,Lebanon_MBA.SG,black,asterisk,cyan
18,Lebanon_Medieval_o,black,square_pin,darkturquoise
20,Lebanon_Medieval.SG,black,diamond,teal
18,Israel_Natufian,black,circle,darkorange
16,Iran_GanjDareh_N,black,square,darkgoldenrod
18,Turkey_N,blue,triangle,navy
